FID,POINTID,GRID_CODE,class,predB1,predB2,predB3,predB4,predB5,predB6,predB7,predB8,predB9,predB10,predB11,predB12,predB13,predB14,predB15,predB16,predB17,predB18,imgB1,imgB2,imgB3,imgB4,imgB5,pca1,pca2,ndvi,ndvir,skp,diff,lst,grd,all,frst,grdr,lstr,allr,frstr,rand,rand2,rand3,id_2,rand4,rand5,pcaxB1,pcaxB2,pcaxB3,pcaxB4,pcaxB5
0,27,4,forest,5740,4491,3957,4120,5154,10560,8205,37063,33421,14785,682,553,697,556,28,28,28,22,5740.000000000000000,4491.000000000000000,3957.000000000000000,4120.000000000000000,5154.000000000000000,10560,8205,0.1313800,0.0201808,24.2059002,13.9110003,10.5000000,10.7333002,8.5111103,8.5652199,28,28,28,22,0,4,0,4,1,1,10501,8288,7886,5760,1668
1,106,4,forest,5813,4832,4265,4311,5242,10995,8314,36126,32935,16118,1016,700,1098,590,42,42,42,42,5813.000000000000000,4832.000000000000000,4265.000000000000000,4311.000000000000000,5242.000000000000000,10995,8314,0.1027660,0.0053638,34.8208008,16.9692001,15.6388998,16.9048004,10.7826004,9.0833302,42,42,42,42,0,4,0,4,1,1,10952,8387,7706,5636,1670
2,115,4,forest,6187,5257,4807,4824,5421,11887,8530,34726,32817,15847,1082,725,1082,496,32,32,32,32,6187.000000000000000,5257.000000000000000,4807.000000000000000,4824.000000000000000,5421.000000000000000,11887,8530,0.0600313,0.0017651,22.3288002,16.3470993,16.6537991,16.6537991,11.1667004,7.6363602,32,32,32,32,0,4,0,4,1,1,11862,8559,7519,5700,1782
3,125,4,forest,5814,4848,4530,4543,5214,11197,8386,35059,32806,13221,1610,1194,1606,1064,40,40,40,40,5814.000000000000000,4848.000000000000000,4530.000000000000000,4543.000000000000000,5214.000000000000000,11197,8386,0.0701971,0.0014328,32.4459000,10.3238001,24.7826004,24.7143002,18.3824005,16.3750000,40,40,40,40,0,4,0,4,1,1,11165,8452,7472,5761,1739
4,126,4,forest,5792,4847,4880,4582,5426,11450,8289,34495,31728,14749,858,616,939,626,35,35,35,35,5792.000000000000000,4847.000000000000000,4880.000000000000000,4582.000000000000000,5426.000000000000000,11450,8289,0.0529789,-0.0314944,33.7948990,13.8281002,13.2082996,14.4499998,9.4782600,9.6400003,35,35,35,35,0,4,0,4,1,1,11420,8352,7257,5853,1540
5,145,4,forest,6204,4970,4679,4674,5372,11629,8485,35018,32742,16469,1016,686,1318,648,37,37,37,37,6204.000000000000000,4970.000000000000000,4679.000000000000000,4674.000000000000000,5372.000000000000000,11629,8485,0.0689484,-0.0005346,27.9906998,17.7733002,15.6409998,20.2917004,10.5541000,9.9761896,37,37,37,37,0,4,0,4,1,1,11594,8517,7643,5874,1714
6,204,4,forest,5943,4907,4464,4522,5461,11366,8242,36050,32971,16363,750,570,1011,562,36,36,36,36,5943.000000000000000,4907.000000000000000,4464.000000000000000,4522.000000000000000,5461.000000000000000,11366,8242,0.1004530,0.0064545,36.6055984,17.5301991,11.5475998,15.5651999,8.7749996,8.6521702,36,36,36,36,0,4,0,4,1,1,11320,8294,7650,5722,1680
7,242,4,forest,6131,4539,4507,4491,5006,11082,8613,34478,32701,15268,992,728,1221,812,39,39,39,39,6131.000000000000000,4539.000000000000000,4507.000000000000000,4491.000000000000000,5006.000000000000000,11082,8613,0.0524545,-0.0017782,28.7777996,15.0197001,15.2749996,18.7917004,11.2028999,12.5000000,39,39,39,39,0,4,0,4,1,1,11047,8661,7689,6131,1726
8,251,4,forest,6378,5098,4657,4808,5394,11826,8558,35162,33282,16213,1006,640,991,635,43,43,43,43,6378.000000000000000,5098.000000000000000,4657.000000000000000,4808.000000000000000,5394.000000000000000,11826,8558,0.0733261,0.0159535,29.2201996,17.1858997,15.4799995,15.2500000,9.8596497,9.7692299,43,43,43,43,0,4,0,4,1,1,11790,8572,7748,5860,1826
9,256,4,forest,6129,4998,4672,4676,5187,11515,8608,34471,32774,15490,1784,1025,1774,995,44,44,44,44,6129.000000000000000,4998.000000000000000,4672.000000000000000,4676.000000000000000,5187.000000000000000,11515,8608,0.0522365,0.0004279,27.3852997,15.5279999,27.4545002,27.2999992,15.7777996,15.3213997,44,44,44,44,0,4,0,4,1,1,11490,8650,7565,5831,1778
10,295,4,forest,6127,4972,4772,4943,5343,11730,8472,34609,33336,16574,1305,796,1344,582,34,34,34,34,6127.000000000000000,4972.000000000000000,4772.000000000000000,4943.000000000000000,5343.000000000000000,11730,8472,0.0564508,0.0176017,28.8038998,18.0142994,20.0832996,20.6818008,12.2500000,8.9583302,34,34,34,34,0,4,0,4,1,1,11700,8500,7452,5942,1901
11,327,4,forest,5829,4899,4596,4556,5180,11243,8449,34717,32616,17766,1267,728,1318,671,45,45,45,45,5829.000000000000000,4899.000000000000000,4596.000000000000000,4556.000000000000000,5180.000000000000000,11243,8449,0.0597381,-0.0043706,24.0564003,20.7492008,19.5000000,20.2856998,11.2115002,10.3332996,45,45,45,45,0,4,0,4,1,1,11216,8516,7432,5748,1731
12,387,4,forest,5988,4634,4559,4456,5389,11246,8281,35493,32385,15032,781,604,1006,466,36,36,36,36,5988.000000000000000,4634.000000000000000,4559.000000000000000,4456.000000000000000,5389.000000000000000,11246,8281,0.0834339,-0.0114254,23.2371006,14.4791002,12.0277996,15.4783001,9.3018904,7.1739101,36,36,36,36,0,4,0,4,1,1,11198,8332,7626,5982,1577
13,413,4,forest,6443,5303,4902,4934,5569,12186,8548,34846,32866,9806,1448,1336,1512,1868,51,51,51,51,6443.000000000000000,5303.000000000000000,4902.000000000000000,4934.000000000000000,5569.000000000000000,12186,8548,0.0636998,0.0032534,25.6940994,2.4913900,22.2856998,23.2691994,20.5555992,28.7500000,51,51,51,51,0,4,0,4,1,1,12155,8551,7633,5806,1770
14,438,4,forest,6186,4886,4521,4617,5299,11459,8480,35355,33104,18533,574,486,612,463,16,16,16,12,6186.000000000000000,4886.000000000000000,4521.000000000000000,4617.000000000000000,5299.000000000000000,11459,8480,0.0792261,0.0105056,34.2001991,22.5077991,8.8400002,9.4285698,7.4898000,7.1250000,16,16,16,12,0,4,0,4,1,1,11419,8515,7734,5882,1759
15,444,4,forest,6107,4775,4545,4532,5257,11327,8466,35139,32713,14409,1320,824,1346,747,40,40,40,39,6107.000000000000000,4775.000000000000000,4545.000000000000000,4532.000000000000000,5257.000000000000000,11327,8466,0.0726383,-0.0014322,26.2049007,13.0486002,20.3181992,20.7143002,12.6829004,11.5000000,40,40,40,39,0,4,0,4,1,1,11288,8510,7678,5932,1688
16,487,4,forest,6342,5090,4583,4545,5276,11608,8644,35062,32623,15744,1431,893,1593,824,45,45,45,45,6342.000000000000000,5090.000000000000000,4583.000000000000000,4545.000000000000000,5276.000000000000000,11608,8644,0.0702911,-0.0041630,19.7427998,16.1117992,22.0216999,24.5184994,13.7439003,12.6842003,45,45,45,45,0,4,0,4,1,1,11576,8673,7822,5770,1684
17,488,4,forest,6134,5138,4578,4659,5170,11524,8638,34749,33047,15201,1349,816,1755,761,45,45,45,45,6134.000000000000000,5138.000000000000000,4578.000000000000000,4659.000000000000000,5170.000000000000000,11524,8638,0.0607304,0.0087691,17.3367996,14.8660002,20.7560997,27.0000000,12.5570002,11.7193003,45,45,45,45,0,4,0,4,1,1,11501,8681,7631,5685,1826
18,499,4,forest,6250,4965,4805,4554,5272,11604,8630,34278,31881,17587,947,709,1076,623,38,38,38,38,6250.000000000000000,4965.000000000000000,4805.000000000000000,4554.000000000000000,5272.000000000000000,11604,8630,0.0463432,-0.0268191,29.2164993,20.3376999,14.5713997,16.5555992,10.9143000,9.5882301,38,38,38,38,0,4,0,4,1,1,11578,8666,7612,5907,1580
19,508,4,forest,6061,4567,4553,4580,5011,11119,8588,34328,32856,15985,1526,880,1599,659,39,39,39,39,6061.000000000000000,4567.000000000000000,4553.000000000000000,4580.000000000000000,5011.000000000000000,11119,8588,0.0478879,0.0029563,30.5681000,16.6648006,23.4783001,24.6000004,13.5454998,10.1429005,39,39,39,39,0,4,0,4,1,1,11088,8639,7588,6117,1780
20,512,4,forest,6157,4964,4599,4625,5122,11431,8651,34522,32852,16195,1088,694,1101,551,29,29,29,29,6157.000000000000000,4964.000000000000000,4599.000000000000000,4625.000000000000000,5122.000000000000000,11431,8651,0.0538011,0.0028187,29.5995998,17.1466999,16.7390995,16.9500008,10.6905003,8.4782600,29,29,29,29,0,4,0,4,1,1,11405,8693,7634,5840,1787
21,540,4,forest,6066,4805,4668,4669,5262,11431,8469,34719,32763,13269,1449,939,1485,955,35,35,35,35,6066.000000000000000,4805.000000000000000,4668.000000000000000,4669.000000000000000,5262.000000000000000,11431,8469,0.0598187,0.0001071,27.4004002,10.4340000,22.3043003,22.8570995,14.4499998,14.7037001,35,35,35,35,0,4,0,4,1,1,11398,8512,7535,5962,1742
22,569,4,forest,6319,4909,4791,4678,5240,11643,8656,34226,32369,17652,1185,749,1179,393,28,28,28,17,6319.000000000000000,4909.000000000000000,4791.000000000000000,4678.000000000000000,5240.000000000000000,11643,8656,0.0447612,-0.0119337,24.9899006,20.4883995,18.2381001,18.1499996,11.5348997,6.0555601,28,28,28,17,0,4,0,4,1,1,11615,8682,7631,6010,1689
