class,cost,ctmi,crv_arc,crv_plane,crv_pro,diss_a,rough_a,slp_d,sp_a
not,404.4440002,9.7218103,-0.376308,-0.270172,0.106136,0.492813,2.5996301,4.1155601,0.186066
not,19.3654995,7.8102002,-0.501769,-0.0958583,0.405911,0.104138,2.02356,2.78634,-4.6490202
not,907.3740234,5.8333998,1.88975,0.630867,-1.25889,0.844944,2.21755,5.0201502,4.61871
not,407.9849854,6.0541,0.6689,0.152399,-0.516501,0.518593,2.53107,8.0197496,-0.955795
not,360.7179871,6.85992,-0.878002,-0.237463,0.640539,0.388762,2.7676799,8.9421902,-5.92978
not,1422.400024,7.0821199,-1.33799,-0.979219,0.358769,0.429028,3.5480001,11.3978996,-2.9500999
not,2212.469971,7.0740499,0.250998,0.104978,-0.146019,0.455589,3.8373301,14.2538004,-0.318008
not,2288.929932,6.2657399,0.585033,0.417902,-0.167131,0.919821,4.0729599,3.2628601,16.5067997
not,702.5949707,6.7325702,0.0419711,0.0652305,0.0232594,0.481995,2.2571399,4.0890098,0.865005
not,1700.23999,5.67378,-0.376383,0.0629218,0.439305,0.388999,4.0843201,22.4006004,3.5262799
not,429.2590027,7.2072201,-0.167131,-0.0795594,0.0875714,0.371775,2.0174601,3.8164999,-2.1721001
not,3350.979981,8.5068598,-0.167055,-0.184203,-0.0171472,0.851201,2.47385,4.5061798,4.9061999
not,3682.429932,6.9853601,0.668975,0.236979,-0.431997,0.78207,2.6673501,7.9021502,6.4636502
not,1785.819946,6.8087802,-0.501769,-0.331317,0.170452,0.620851,3.3004999,13.0532999,6.95119
not,1040.339966,9.0651503,2.3414099,0.428422,-1.91299,0.475059,3.5959699,16.4279003,-1.07713
not,36.8013992,6.19801,0.376308,0.304057,-0.0722513,0.361088,2.35883,3.4909401,-4.5971098
not,3196.419922,5.6835299,0.501995,0.352924,-0.149071,0.742102,2.6377101,11.5352001,4.48595
not,1025.109985,6.2835898,0.710758,0.201895,-0.508863,0.442599,3.26458,12.6260004,0.38961
not,3046.209961,5.1214099,0.794324,0.149436,-0.644888,0.733338,2.7834499,10.1500998,6.6089401
not,141.3269958,6.34303,-1.67251,-0.336914,1.3356,0.130888,3.4374199,11.9188004,-15.4818001
not,802.7880249,5.4198799,2.3414099,0.797655,-1.5437599,0.811471,3.1285801,7.5662999,8.0581799
not,1807.52002,5.3339601,0.460024,0.499508,0.0394842,0.534745,2.88255,8.2362003,2.69734
not,2487.889893,7.71176,0.501543,0.167131,-0.334412,0.610121,3.1019399,9.9005203,4.0341001
not,1442.189941,7.4634399,-0.167282,0.0394714,0.206753,0.447248,4.0542798,16.3082008,-2.91396
not,366.1520081,7.8722,0.961869,0.713438,-0.248431,0.475386,2.9634099,13.5040998,-1.5777299
not,766.3939819,8.3687897,0.167131,-0.43565,-0.602781,0.381017,3.5729201,15.1862001,-5.07937
not,2044.670044,9.0860996,-1.17082,-0.427504,0.743316,0.500415,3.8411,16.6425991,-1.72284
not,1247.569946,8.1382704,-0.669051,-0.266259,0.402792,0.545526,3.2672601,9.9421501,-1.16348
not,57.2403984,5.5684099,0.250922,0.209496,-0.0414263,0.279775,3.06622,6.5317302,-3.5235701
